artifact	definition	frame
abacus	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave	None of above
accordion	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	Make_noise
airplane	an aircraft that has a fixed wing and is powered by propellers or jets	Self_motion
airship	a steerable self-propelled aircraft	Self_motion
album	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc	Perception_experience
altar	the table in Christian churches where communion is given	Rite
ambulance	a vehicle that takes people to and from hospitals	Self_motion
ammo	projectiles to be fired from a gun	Cause_harm
ammunition	projectiles to be fired from a gun	Cause_harm
amplifier	electronic equipment that increases strength of signals passing through it	None of above
anchor	a mechanical device that prevents a vessel from moving	Inhibit_movement
anklet	a shoe for a child or woman that has a strap around the ankle	Wearing
antenna	an electrical device that sends or receives radio or television signals	None of above
anvil	a heavy block of iron or steel on which hot metals are shaped by hammering	Supporting
apparel	clothing in general	Wearing
appliance	a device or control that is very useful for a particular job	None of above
apron	a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing	Protecting
armchair	chair with a support on each side for arms	Supporting
armoire	a large wardrobe or cabinet; originally used for storing weapons	Containing
armor	protective covering made of metal and used in combat	Protecting
arms	weapons considered collectively	Cause_harm
artifact	a man-made object taken as a whole	None of above
ashcan	a bin that holds rubbish until it is collected	Containing
ashtray	a receptacle for the ash from smokers' cigars or cigarettes	Containing
asphalt	mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing	Building
audiotape	a tape recording of sound	Create_representation
automobile	a motor vehicle with four wheels; usually propelled by an internal combustion engine	Self_motion
awning	a canopy made of canvas to shelter people or things from rain or sun	Protecting
ax	an edge tool with a heavy bladed head mounted across a handle	Cutting
axe	an edge tool with a heavy bladed head mounted across a handle	Cutting
backboard	a raised vertical board with basket attached; used to play basketball	Competition
backpack	a bag carried by a strap on your back or shoulder	Containing
bag	a flexible container with a single opening	Containing
bagpipe	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	Make_noise
ball	round object that is hit or thrown or kicked in games	None of above
balloon	large tough nonrigid bag filled with gas or heated air	Self_motion
bandage	a piece of soft material that covers and protects an injured part of the body	Protecting
bandanna	large and brightly colored handkerchief; often used as a neckerchief	Wearing
banjo	a stringed instrument of the guitar family that has long neck and circular body	Make_noise
banner	long strip of cloth or paper used for decoration or advertising	None of above
barbell	a bar to which heavy discs are attached at each end; used in weightlifting	Competition
barbwire	strong wire with barbs at regular intervals used to prevent passage	Inhibit_movement
